customer_sk,customer_id,customer_name,dob,gender,kyc_type,kyc_number,onboard_date,status,loyalty_tier,city,state,country,email,phone,last_updated_ts,gdpr_opt_out
1,CUST000001,Customer_1,28-02-1989,M,Passport,KYC00000001,31-01-2021,ACTIVE,Silver,Hyderabad,Telangana,India,customer1@mail.com,-9249827615,27:44.8,Y
2,CUST000002,Customer_2,18-08-2008,M,Passport,KYC00000002,25-09-2022,ACTIVE,Silver,Hyderabad,Telangana,India,customer2@mail.com,-9200604411,27:44.8,Y
3,CUST000003,Customer_3,01-11-2006,M,Passport,KYC00000003,25-03-2020,INACTIVE,Silver,Mumbai,Maharashtra,India,customer3@mail.com,-9582334447,27:44.8,N
4,CUST000004,Customer_4,30-04-1991,F,Aadhaar,KYC00000004,12-02-2021,ACTIVE,Silver,Kolkata,West Bengal,India,customer4@mail.com,-9919795488,27:44.8,N
5,CUST000005,Customer_5,29-04-1988,F,PAN,KYC00000005,10-01-2022,ACTIVE,Platinum,Kolkata,West Bengal,India,customer5@mail.com,-9384027022,27:44.8,Y
6,CUST000006,Customer_6,10-10-2004,M,Aadhaar,KYC00000006,19-11-2018,ACTIVE,Platinum,Hyderabad,Telangana,India,customer6@mail.com,-9764130435,27:44.8,N
7,CUST000007,Customer_7,16-10-1992,M,PAN,KYC00000007,01-06-2025,ACTIVE,Gold,Chennai,Tamil Nadu,India,customer7@mail.com,-9185675889,27:44.8,Y
8,CUST000008,Customer_8,20-03-2001,F,Aadhaar,KYC00000008,16-02-2025,ACTIVE,Silver,Kolkata,West Bengal,India,customer8@mail.com,-9497478695,27:44.8,N
9,CUST000009,Customer_9,25-03-2014,F,Passport,KYC00000009,31-08-2025,ACTIVE,Platinum,Mumbai,Maharashtra,India,customer9@mail.com,-9781802653,27:44.8,Y
10,CUST000010,Customer_10,23-02-1995,M,Aadhaar,KYC00000010,04-04-2022,ACTIVE,Platinum,Chennai,Tamil Nadu,India,customer10@mail.com,-9838908182,27:44.8,Y
11,CUST000011,Customer_11,18-09-1998,M,PAN,KYC00000011,12-05-2018,ACTIVE,Gold,Hyderabad,Telangana,India,customer11@mail.com,-9387484492,27:44.8,Y
12,CUST000012,Customer_12,10-08-2009,F,PAN,KYC00000012,08-05-2025,INACTIVE,Gold,Mumbai,Maharashtra,India,customer12@mail.com,-9790256849,27:44.8,N
13,CUST000013,Customer_13,18-01-1996,M,PAN,KYC00000013,18-04-2024,ACTIVE,Platinum,Mumbai,Maharashtra,India,customer13@mail.com,-9727694339,27:44.8,N
14,CUST000014,Customer_14,30-01-2002,F,PAN,KYC00000014,21-07-2019,INACTIVE,Silver,Chennai,Tamil Nadu,India,customer14@mail.com,-9911514823,27:44.8,Y
15,CUST000015,Customer_15,09-01-1991,M,Passport,KYC00000015,26-09-2022,ACTIVE,Gold,Kolkata,West Bengal,India,customer15@mail.com,-9509760493,27:44.8,N
16,CUST000016,Customer_16,12-06-1995,M,Passport,KYC00000016,31-01-2026,ACTIVE,Platinum,Chennai,Tamil Nadu,India,customer16@mail.com,-9676567410,27:44.8,N
17,CUST000017,Customer_17,05-06-1999,M,Aadhaar,KYC00000017,16-11-2022,ACTIVE,Gold,Hyderabad,Telangana,India,customer17@mail.com,-9103484539,27:44.8,N
18,CUST000018,Customer_18,07-03-1992,M,Passport,KYC00000018,07-05-2021,ACTIVE,Silver,Chennai,Tamil Nadu,India,customer18@mail.com,-9501486848,27:44.8,Y
19,CUST000019,Customer_19,16-12-2007,M,Passport,KYC00000019,20-08-2021,INACTIVE,Silver,Chennai,Tamil Nadu,India,customer19@mail.com,-9220116963,27:44.8,N
20,CUST000020,Customer_20,28-11-1994,M,PAN,KYC00000020,12-05-2024,ACTIVE,Silver,Bengaluru,Karnataka,India,customer20@mail.com,-9885879704,27:44.8,N
21,CUST000021,Customer_21,23-01-2008,M,PAN,KYC00000021,26-05-2025,INACTIVE,Platinum,Kolkata,West Bengal,India,customer21@mail.com,-9277303631,27:44.8,N
22,CUST000022,Customer_22,18-05-2011,F,PAN,KYC00000022,18-01-2024,ACTIVE,Platinum,Chennai,Tamil Nadu,India,customer22@mail.com,-9434702731,27:44.8,N
23,CUST000023,Customer_23,26-04-2013,F,Aadhaar,KYC00000023,21-10-2023,INACTIVE,Silver,Hyderabad,Telangana,India,customer23@mail.com,-9366186540,27:44.8,Y
24,CUST000024,Customer_24,02-05-1999,M,Passport,KYC00000024,18-03-2024,ACTIVE,Platinum,Kolkata,West Bengal,India,customer24@mail.com,-9336456530,27:44.8,Y
25,CUST000025,Customer_25,22-06-2012,M,PAN,KYC00000025,04-10-2018,ACTIVE,Gold,Kolkata,West Bengal,India,customer25@mail.com,-9176082409,27:44.8,Y
26,CUST000026,Customer_26,05-03-2014,F,PAN,KYC00000026,18-01-2024,ACTIVE,Platinum,Bengaluru,Karnataka,India,customer26@mail.com,-9713152763,27:44.8,N
27,CUST000027,Customer_27,20-05-2005,F,PAN,KYC00000027,22-01-2019,ACTIVE,Platinum,Mumbai,Maharashtra,India,customer27@mail.com,-9562837593,27:44.8,N
28,CUST000028,Customer_28,10-08-2002,F,Passport,KYC00000028,10-08-2018,ACTIVE,Silver,Delhi,Delhi,India,customer28@mail.com,-9532311219,27:44.8,N
29,CUST000029,Customer_29,27-04-1995,M,PAN,KYC00000029,06-01-2024,INACTIVE,Silver,Kolkata,West Bengal,India,customer29@mail.com,-9552991869,27:44.8,Y
30,CUST000030,Customer_30,01-12-2004,M,PAN,KYC00000030,21-12-2022,ACTIVE,Silver,Bengaluru,Karnataka,India,customer30@mail.com,-9800235155,27:44.8,Y
31,CUST000031,Customer_31,08-10-1994,M,Aadhaar,KYC00000031,13-06-2023,INACTIVE,Silver,Kolkata,West Bengal,India,customer31@mail.com,-9530613638,27:44.8,Y
32,CUST000032,Customer_32,02-03-2001,M,Aadhaar,KYC00000032,22-12-2020,INACTIVE,Gold,Mumbai,Maharashtra,India,customer32@mail.com,-9554200735,27:44.8,N
33,CUST000033,Customer_33,07-09-1992,F,PAN,KYC00000033,28-08-2018,ACTIVE,Platinum,Mumbai,Maharashtra,India,customer33@mail.com,-9436730515,27:44.8,Y
34,CUST000034,Customer_34,16-05-2010,F,Passport,KYC00000034,16-12-2023,ACTIVE,Silver,Kolkata,West Bengal,India,customer34@mail.com,-9645276605,27:44.8,Y
35,CUST000035,Customer_35,29-03-1987,M,Passport,KYC00000035,21-08-2020,INACTIVE,Silver,Mumbai,Maharashtra,India,customer35@mail.com,-9711684227,27:44.8,Y
36,CUST000036,Customer_36,01-11-2010,M,Passport,KYC00000036,02-12-2018,INACTIVE,Platinum,Chennai,Tamil Nadu,India,customer36@mail.com,-9726713256,27:44.8,N
37,CUST000037,Customer_37,30-04-1993,F,PAN,KYC00000037,23-12-2020,INACTIVE,Silver,Bengaluru,Karnataka,India,customer37@mail.com,-9821221796,27:44.8,N
38,CUST000038,Customer_38,08-05-1998,M,PAN,KYC00000038,21-02-2023,ACTIVE,Silver,Delhi,Delhi,India,customer38@mail.com,-9677280455,27:44.8,Y
39,CUST000039,Customer_39,24-01-1996,M,Aadhaar,KYC00000039,09-10-2018,ACTIVE,Gold,Chennai,Tamil Nadu,India,customer39@mail.com,-9406002793,27:44.8,Y
40,CUST000040,Customer_40,14-07-2008,F,Passport,KYC00000040,02-05-2025,ACTIVE,Platinum,Delhi,Delhi,India,customer40@mail.com,-9977358795,27:44.8,N
41,CUST000041,Customer_41,24-10-1988,M,Aadhaar,KYC00000041,18-04-2019,ACTIVE,Platinum,Hyderabad,Telangana,India,customer41@mail.com,-9694019274,27:44.8,Y
42,CUST000042,Customer_42,21-10-1996,M,Passport,KYC00000042,05-11-2021,ACTIVE,Platinum,Bengaluru,Karnataka,India,customer42@mail.com,-9781007727,27:44.8,N
43,CUST000043,Customer_43,30-01-2006,F,PAN,KYC00000043,14-01-2019,INACTIVE,Gold,Chennai,Tamil Nadu,India,customer43@mail.com,-9147337712,27:44.8,Y
44,CUST000044,Customer_44,13-01-1990,F,PAN,KYC00000044,15-12-2022,INACTIVE,Platinum,Bengaluru,Karnataka,India,customer44@mail.com,-9110382670,27:44.8,Y
45,CUST000045,Customer_45,08-11-1990,M,Aadhaar,KYC00000045,13-07-2024,ACTIVE,Gold,Kolkata,West Bengal,India,customer45@mail.com,-9236843493,27:44.8,Y
46,CUST000046,Customer_46,10-07-2000,M,Aadhaar,KYC00000046,10-05-2020,ACTIVE,Platinum,Bengaluru,Karnataka,India,customer46@mail.com,-9210373717,27:44.8,N
47,CUST000047,Customer_47,25-05-2002,M,PAN,KYC00000047,28-10-2019,ACTIVE,Gold,Chennai,Tamil Nadu,India,customer47@mail.com,-9126614067,27:44.8,Y
48,CUST000048,Customer_48,25-01-1999,F,Passport,KYC00000048,13-10-2020,ACTIVE,Silver,Hyderabad,Telangana,India,customer48@mail.com,-9945436852,27:44.8,Y
49,CUST000049,Customer_49,26-11-1985,F,PAN,KYC00000049,28-03-2020,INACTIVE,Gold,Delhi,Delhi,India,customer49@mail.com,-9427696107,27:44.8,Y
